"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Sun Mar 16 14:21:34 UTC 2025","Sun Mar 16 14:21:34 UTC 2025","0","chromium","dynamic-content-with-static.spec.js","Dynamic and static content tests","","","Verify body text with static link",""
"failed","Sun Mar 16 14:21:35 UTC 2025","Sun Mar 16 14:21:35 UTC 2025","7","chromium","example.spec.js","","","","has title",""
"skipped","Sun Mar 16 14:21:34 UTC 2025","Sun Mar 16 14:21:34 UTC 2025","0","chromium","dropdown.spec.js","Dropdown tests","","","should verify that default option is disabled",""
"failed","Sun Mar 16 14:21:32 UTC 2025","Sun Mar 16 14:21:32 UTC 2025","59","chromium","challenging-dom.spec.js","Challenging DOM Page","","","Verify page title and structure",""
"skipped","Sun Mar 16 14:21:34 UTC 2025","Sun Mar 16 14:21:34 UTC 2025","0","chromium","dynamic-content-with-static.spec.js","Dynamic and static content tests","","","Verify body text",""
"skipped","Sun Mar 16 14:21:33 UTC 2025","Sun Mar 16 14:21:33 UTC 2025","0","chromium","disappearing-elements.spec.js","Disappearing elements tests","","","Ensure missing element appears after reload",""
"skipped","Sun Mar 16 14:21:33 UTC 2025","Sun Mar 16 14:21:33 UTC 2025","0","chromium","disappearing-elements.spec.js","Disappearing elements tests","","","Verify body text",""
"skipped","Sun Mar 16 14:21:34 UTC 2025","Sun Mar 16 14:21:34 UTC 2025","0","chromium","dynamic-content-with-static.spec.js","Dynamic and static content tests","","","verify static content remains unchanged",""
"skipped","Sun Mar 16 14:21:34 UTC 2025","Sun Mar 16 14:21:34 UTC 2025","0","chromium","dropdown.spec.js","Dropdown tests","","","should verify available options",""
"failed","Sun Mar 16 14:21:31 UTC 2025","Sun Mar 16 14:21:31 UTC 2025","67","chromium","ab-test.spec.js","A/B Test Page","","","Verify A/B test heading is displayed correctly",""
"skipped","Sun Mar 16 14:21:31 UTC 2025","Sun Mar 16 14:21:31 UTC 2025","0","chromium","broken-images.spec.js","Broken Images Page","","","Verify broken images on the page",""
"skipped","Sun Mar 16 14:21:33 UTC 2025","Sun Mar 16 14:21:33 UTC 2025","0","chromium","digest-auth.spec.js","Verify Digest Auth","","","Verify the body text",""
"skipped","Sun Mar 16 14:21:33 UTC 2025","Sun Mar 16 14:21:33 UTC 2025","0","chromium","disappearing-elements.spec.js","Disappearing elements tests","","","Verify menu items appear correctly",""
"failed","Sun Mar 16 14:21:31 UTC 2025","Sun Mar 16 14:21:31 UTC 2025","1","chromium","broken-images.spec.js","Broken Images Page","","","Verify heading text is displayed correctly",""
"skipped","Sun Mar 16 14:21:34 UTC 2025","Sun Mar 16 14:21:34 UTC 2025","0","chromium","dropdown.spec.js","Dropdown tests","","","should have ""Please select an option"" as default",""
"skipped","Sun Mar 16 14:21:33 UTC 2025","Sun Mar 16 14:21:33 UTC 2025","0","chromium","disappearing-elements.spec.js","Disappearing elements tests","","","Click on menu items and verify navigation",""
"skipped","Sun Mar 16 14:21:34 UTC 2025","Sun Mar 16 14:21:34 UTC 2025","0","chromium","dynamic-content-with-static.spec.js","Dynamic and static content tests","","","Verify page contains exactly 3 content blocks",""
"skipped","Sun Mar 16 14:21:34 UTC 2025","Sun Mar 16 14:21:34 UTC 2025","0","chromium","dynamic-content-with-static.spec.js","Dynamic and static content tests","","","Verify all blocks changes after reload",""
"skipped","Sun Mar 16 14:21:34 UTC 2025","Sun Mar 16 14:21:34 UTC 2025","0","chromium","dynamic-content-with-static.spec.js","Dynamic and static content tests","","","Verify images change on page reload",""
"skipped","Sun Mar 16 14:21:33 UTC 2025","Sun Mar 16 14:21:33 UTC 2025","0","chromium","context-menu.spec.js","Context Menu tests","","","Verify body test is displayed correctly",""
"failed","Sun Mar 16 14:21:31 UTC 2025","Sun Mar 16 14:21:31 UTC 2025","1","chromium","add-and-remove-elements.spec.js","Add and remove test page","","","Verify ""Add and remove elements"" heading is displayed correctly",""
